Treatment_Exposure,Treatment,Eel,Rotation_Bout,Rotation_Duration,Opercular_Passes,Opercular_Passes/2,Rotation_Second
1,Small,Hamlet,1,0.99,1,0.5,0.505050505
1,Small,Hamlet,2,1.828,3,1.5,0.820568928
1,Small,Hamlet,3,2.1,3,1.5,0.714285714
1,Small,Hamlet,4,1.568,4,2,1.275510204
,Medium,Hamlet,1,1.764,2,1,0.566893424
3,Large,Hamlet,1,2.44,1,0.5,0.204918033
3,Large,Hamlet,2,3.258,6,3,0.920810313
3,Large,Hamlet,3,2.25,6,3,1.333333333
2,Small,Spaghettio,1,5.184,8,4,1.296
2,Small,Spaghettio,2,1.254,3,1.5,1.196
1,Medium,Spaghettio,1,1.592,5,2.5,1.5703
1,Medium,Spaghettio,2,3,6,3,1
1,Medium,Spaghettio,3,1.25,2,1,0.8
1,Large,Spaghettio,1,5.9,4,2,0.339
,Small,Bill,1,1.539,1,0.5,0.324
,Small,Bill,2,2.459,3,1.5,0.61
,Small,Bill,3,2.192,4,2,0.912
,Small,Bill,4,1.188,3,1.5,1.262
,Small,Bill,5,2.309,4,2,0.866
,Small,Bill,6,7.496,8,4,0.533
,Small,Bill,7,1.506,2,1,0.664
,Small,Bill,8,3.246,4,2,0.616
,Medium,Bill,1,7.566,16,8,1.05
,Large,Bill,1,1.317,3,1.5,1.138
,Large,Bill,2,0.967,5,2.5,2.58
,Large,Bill,3,1.21,4,2,1.652
,Large,Bill,4,1.6,4,2,1.25
,Large,Bill,5,1.284,2,1,0.778
,Large,Bill,6,14.002,46,23,1.64
,Large,Bill,7,1.367,5,2.5,1.828
2,Small,Horatio,1,1.251,2,1,0.799360512
2,Small,Horatio,2,0.999,1,0.5,0.500500501
1,Medium,Horatio,1,0.478,1,0.5,1.046025105
1,Medium,Horatio,2,1.01,1,0.5,0.495049505
1,Medium,Horatio,3,1.05,3,1.5,1.428571429
1,Medium,Horatio,4,1.001,1,0.5,0.4995005
2,Large,Horatio,1,1.867,6,3,1.606855919
2,Large,Horatio,2,7.258,12,12,1.65334803
2,Large,Horatio,3,5.763,7,7,1.21464515